 Folder, 0.95, File, : 0.sav , Bus Number:,69014, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69015, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69016, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69017, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69018, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69019, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69020, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69021, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69022, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69023, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69024, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69025, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69026, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69027, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
 Folder, 0.95, File, : 0.sav , Bus Number:,69028, Voltage PU,1.09, Voltage kV,0.75, Base Voltage kV,0.69
